earthquakeID,earthquakeTime,earthquakeDay,earthquakeLatitude,earthquakeLongitude,earthquakeMagnitude,City,cityLatitude,cityLongitude,Country,cityPopulation,cityDistance,stationDode,stationName,stationLatitude,stationLongitude,stationDistance,Wave
us2000aert,03:30:01,03/09/2017,41.3324,129.0297,6.3,Kilchu,40.9604,129.3204,Korea,,29.82122087,SEO,Seoul,37.5667,126.9667,282.4701119,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SEO&loc=00&cha=BHZ&starttime=2017-09-03T00:00:00&endtime=2017-09-04T00:00:00&output=plot
us2000afh9,08:07:34,04/09/2017,-57.7387,-25.6131,6.1,Grytviken,-54.2806,-36.508,South Georgia And South Sandwich Islands,99,483.1080779,PMSA,Palmer Station,-64.7744,-64.0489,1340.921202,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=PMSA&loc=00&cha=BHZ&starttime=2017-09-04T00:00:00&endtime=2017-09-05T00:00:00&output=plot
us2000ahlq,17:26:49,07/09/2017,27.7829,139.8041,6.1,Hamamatsu,34.7181,137.7327,Japan,977023,494.4873678,MAJO,Matsushiro,36.54567,138.20406,612.5789024,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MAJO&loc=00&cha=BHZ&starttime=2017-09-07T00:00:00&endtime=2017-09-08T00:00:00&output=plot
us2000ahv0,04:49:19,08/09/2017,15.0222,-93.8993,8.2,Pijijiapan,15.6904,-93.22,Mexico,23675,64.64889876,TEIG,Tepich Yucatan,20.2263,-88.2763,515.9799661,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2017-09-08T00:00:00&endtime=2017-09-09T00:00:00&output=plot
us2000ar20,18:14:38,19/09/2017,18.5499,-98.4887,7.1,Atlixco,18.9,-98.45,Mexico,97842,24.32059724,TEIG,Tepich Yucatan,20.2263,-88.2763,675.4373527,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2017-09-19T00:00:00&endtime=2017-09-20T00:00:00&output=plot
us2000arel,01:43:25,20/09/2017,-50.7087,162.6317,6.1,Oban,-46.8876,168.1666,New Zealand,310,364.6972612,SNZO,South Karori,-41.3087,174.7043,868.083366,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=SNZO&loc=00&cha=BHZ&starttime=2017-09-20T00:00:00&endtime=2017-09-21T00:00:00&output=plot
us2000arxv,16:37:16,20/09/2017,37.9814,144.6601,6.1,Sendai,38.2871,141.0217,Japan,2250000,198.8362457,MAJO,Matsushiro,36.54567,138.20406,368.4987471,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=MAJO&loc=00&cha=BHZ&starttime=2017-09-20T00:00:00&endtime=2017-09-21T00:00:00&output=plot
us2000as2f,20:09:49,20/09/2017,-18.7854,169.0946,6.4,Isangel,-19.5417,169.2817,Vanuatu,,53.66043962,HNR,Honiara,-9.4387,159.9475,889.7291377,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=HNR&loc=00&cha=BHZ&starttime=2017-09-20T00:00:00&endtime=2017-09-21T00:00:00&output=plot
us2000atjv,12:53:01,23/09/2017,16.6258,-95.0778,6.1,Juchitan,16.43,-95.02,Mexico,67637,14.05911077,TEIG,Tepich Yucatan,20.2263,-88.2763,510.4208542,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=TEIG&loc=00&cha=BHZ&starttime=2017-09-23T00:00:00&endtime=2017-09-24T00:00:00&output=plot
us2000autd,04:20:00,26/09/2017,-23.5815,-176.8371,6.4,Nukualofa,-21.1385,-175.2206,Tonga,42620,197.8752253,RAO,Raoul,-29.245,-177.929,397.0733363,http://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=RAO&loc=00&cha=BHZ&starttime=2017-09-26T00:00:00&endtime=2017-09-27T00:00:00&output=plot
